ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12857036,JF431970,10/11/2022 12:00:00 PM,063XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0823,008,17,66,06,1156143,1862448,2022,11/12/2022 03:46:21 PM,41.778340981,-87.703122242,"(41.778340981, -87.703122242)"
12857515,JF432416,10/12/2022 08:45:00 PM,070XX S ARTESIAN AVE,0650,BURGLARY,HOME INVASION,RESIDENCE,false,false,0832,008,17,66,05,1161258,1857916,2022,11/12/2022 03:46:21 PM,41.765800136,-87.684495611,"(41.765800136, -87.684495611)"
12871126,JF448579,10/25/2022 10:43:00 AM,023XX W 72ND ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,false,false,0832,008,18,66,04B,1161839,1856861,2022,11/12/2022 03:46:21 PM,41.762893018,-87.682395302,"(41.762893018, -87.682395302)"
27165,JF462691,11/04/2022 11:16:00 PM,030XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0823,008,16,66,01A,1157293,1862709,2022,11/11/2022 03:53:24 PM,41.779033998,-87.698899187,"(41.779033998, -87.698899187)"
12871724,JF449447,10/25/2022 08:30:00 PM,062XX S ROCKWELL ST,0810,THEFT,OVER $500,RESIDENCE,false,true,0825,008,16,66,06,1160111,1863210,2022,11/12/2022 03:46:21 PM,41.780351295,-87.6885543,"(41.780351295, -87.6885543)"
12872683,JF450671,10/25/2022 02:50:00 PM,065XX W 60TH PL,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,SCHOOL - PUBLIC GROUNDS,false,false,0812,008,13,64,04A,1133887,1863705,2022,11/12/2022 03:46:21 PM,41.782209036,-87.78468611,"(41.782209036, -87.78468611)"
12871436,JF449037,10/25/2022 04:15:00 PM,071XX S WESTERN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0832,008,18,66,06,1161608,1857318,2022,11/12/2022 03:46:21 PM,41.764151886,-87.683229302,"(41.764151886, -87.683229302)"
12872715,JF450629,10/26/2022 05:05:00 PM,032XX W 55TH ST,2210,LIQUOR LAW VIOLATION,SELL / GIVE / DELIVER LIQUOR TO MINOR,TAVERN / LIQUOR STORE,true,false,0822,008,14,63,22,1155491,1867962,2022,11/12/2022 03:46:21 PM,41.793485288,-87.70536489,"(41.793485288, -87.70536489)"
12860494,JF436222,10/15/2022 09:38:00 PM,064XX S RICHMOND ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,0823,008,17,66,26,1157822,1861791,2022,11/12/2022 03:46:21 PM,41.776504146,-87.696984714,"(41.776504146, -87.696984714)"
12872834,JF450780,10/24/2022 08:30:00 PM,086XX S KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0834,008,18,70,14,1150259,1846839,2022,11/12/2022 03:46:21 PM,41.735623541,-87.725098128,"(41.735623541, -87.725098128)"
