ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6698910,HR108481,01/06/2009 12:36:48 PM,007XX W 31ST ST,0460,BATTERY,SIMPLE,DRUG STORE,true,false,0924,11,08B,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7227048,HR642042,11/13/2008 10:22:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,0924,11,06,,,2008,08/17/2015 03:03:40 PM,,,
6856883,HR263377,04/11/2009 06:22:00 PM,007XX W 31ST ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESTAURANT,false,false,0923,11,11,1172053,1884337,2009,02/28/2018 03:56:25 PM,41.838071856,-87.644151826,"(41.838071856, -87.644151826)"
6873248,HR279376,04/21/2009 11:30:00 AM,007XX W 31ST ST,0460,BATTERY,SIMPLE,DRUG STORE,false,false,0924,11,08B,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
6879770,HR284754,04/24/2009 10:16:00 AM,007XX W 31ST ST,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,false,false,0923,11,26,1171970,1884335,2009,02/04/2016 06:33:39 AM,41.838068195,-87.644456449,"(41.838068195, -87.644456449)"
6889801,HR295528,04/30/2009 12:50:00 PM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,true,false,0924,11,26,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
6935597,HR332962,05/19/2009 09:15:00 PM,007XX W 31ST ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0924,11,26,1172053,1884337,2009,02/28/2018 03:56:25 PM,41.838071856,-87.644151826,"(41.838071856, -87.644151826)"
6954311,HR359181,06/05/2009 11:35:00 AM,007XX W 31ST ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0924,11,06,1171687,1884328,2009,02/10/2018 03:50:01 PM,41.83805521,-87.645495109,"(41.83805521, -87.645495109)"
6957298,HR362864,06/07/2009 04:02:00 PM,007XX W 31ST ST,0460,BATTERY,SIMPLE,DRUG STORE,true,false,0924,11,08B,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
6988615,HR392794,06/24/2009 03:20:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0924,11,06,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
6826280,HR233901,03/25/2009 03:11:00 AM,007XX W 31ST ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,DRUG STORE,true,true,0924,11,03,1171697,1884328,2009,02/04/2016 06:33:39 AM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
11739044,JC326155,06/28/2019 05:44:00 PM,007XX W 31ST ST,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,PARKING LOT/GARAGE(NON.RESID.),true,false,0915,11,04B,1171682,1884328,2019,07/10/2019 04:06:15 PM,41.83805532,-87.645513456,"(41.83805532, -87.645513456)"
7082885,HR491372,07/16/2009 03:00:00 PM,007XX W 31ST ST,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,false,false,0924,11,07,1172053,1884337,2009,02/28/2018 03:56:25 PM,41.838071856,-87.644151826,"(41.838071856, -87.644151826)"
7084858,HR493194,08/19/2009 09:15:00 PM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,true,false,0924,11,26,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
